cohort_definition_id,age_group,sex,n,cdm_name
1,"(5,10]",Male,NA,cdmGold
1,"(15,20]",Female,NA,cdmGold
1,"(15,20]",Male,NA,cdmGold
1,"(20,25]",Male,NA,cdmGold
1,"(25,30]",Male,NA,cdmGold
1,"(35,40]",Female,NA,cdmGold
1,"(40,45]",Female,NA,cdmGold
1,"(60,65]",Female,NA,cdmGold
1,"(75,80]",Male,NA,cdmGold
2,"(15,20]",Female,NA,cdmGold
2,"(20,25]",Female,NA,cdmGold
2,"(25,30]",Female,10,cdmGold
2,"(30,35]",Female,10,cdmGold
2,"(35,40]",Female,7,cdmGold
2,"(40,45]",Female,5,cdmGold
2,"(45,50]",Female,5,cdmGold
2,"(50,55]",Female,NA,cdmGold
2,"(55,60]",Female,NA,cdmGold
4,"(5,10]",Male,NA,cdmGold
4,"(15,20]",Female,NA,cdmGold
4,"(15,20]",Male,NA,cdmGold
4,"(20,25]",Male,NA,cdmGold
4,"(25,30]",Male,NA,cdmGold
4,"(35,40]",Female,NA,cdmGold
4,"(40,45]",Female,NA,cdmGold
4,"(60,65]",Female,NA,cdmGold
4,"(75,80]",Male,NA,cdmGold
5,"(5,10]",Male,NA,cdmGold
5,"(15,20]",Female,NA,cdmGold
5,"(15,20]",Male,NA,cdmGold
5,"(20,25]",Male,NA,cdmGold
5,"(25,30]",Male,NA,cdmGold
5,"(35,40]",Female,NA,cdmGold
5,"(40,45]",Female,NA,cdmGold
5,"(60,65]",Female,NA,cdmGold
5,"(75,80]",Male,NA,cdmGold
